,Unnamed: 0,_id,diagnosa,grouped_diagnosa,icd10_label,icd9_label
17767,8700,66dc3ef0ea39b22abc0525e7,RRD OS,Ablasio retina regmatogenosa,H33.5 -- Other retinal detachments,"90.59--Microscopic examination of blood, Other microscopic examination"
12876,2189,65f11246aff1d5e12904d27e,RRD OS,Ablasio retina regmatogenosa,H33.0--Retinal detachment with retinal break,14.74--Other mechanical vitrectomy
15239,5337,665d33d2ebe6340ac70d7833,RRD OS,Ablasio retina regmatogenosa,H33.0 -- Retinal detachment with retinal break,14.74 -- Other mechanical vitrectomy
2281,2619,672ac01ab045f68f54023248,Dispnoe ec ADHF,Acute Decompensated Heart Failure,,
449,520,6764b96e87d492eb69057830,ADHF,Acute Decompensated Heart Failure,Z09.8 - Follow-up examination after other treatment for other conditions,
4309,5055,66e0e520eeb0e270790dd451,ADHF,Acute Decompensated Heart Failure,I21.4 - Acute subendocardial myocardial infarction,
2384,2751,672830ef4c06ee0b09039c30,ADHF ec CAD,Acute Decompensated Heart Failure,Z09.8-Follow-up examination after other treatment for other conditions,
2101,2408,67316f9a13fcc622410bd873,AKI,Acute Kidney Disease,,
6056,7145,669ef7dc43dbe01f9b0a9d60,alo,Acute Lung Oedema,J81 - Pulmonary oedema,
393,453,6768b01e9080fb0162040f9a,ADHF dd ALO,Acute Lung Oedema,Z09.8 - Follow-up examination after other treatment for other conditions,
9152,10894,660a3697291f2046730f3636,ALO (edem paru),Acute Lung Oedema,J81-Pulmonary oedema,
8006,9474,664ac2c0183aeae49b057f1f,ALO,Acute Lung Oedema,I50.1 - Left ventricular failure,
4463,5246,66da65f51ac0943d7c07c157,TETRALOGY OF FALLOT,Acute Lung Oedema,,
3517,4081,66ff566d63be03c0bb0573b5,ADHF/ALO,Acute Lung Oedema,I50.0 - Congestive heart failure,
1526,1752,6743e57a19bb278aab0bbdb9,edem pulmo,Acute Lung Oedema,Z09.8-Follow-up examination after other treatment for other conditions,
2499,2888,6722dcaba25504319d0c382a,Anemia berat,Anemia,,
2158,2476,672d7c11e53f6e337505284a,anemia gravis,Anemia,- - Belum di Isi,
991,1131,67565db90c3475dad90ac50b,anemia,Anemia,Z09.8 - Follow-up examination after other treatment for other conditions,
7893,9342,664d4289c166198cee0b7df3,anemia,Anemia,"D64.9 - Anaemia, unspecified",
381,439,6768b73f780f06a99e09248b,Anemia,Anemia,Z09.8-Follow-up examination after other treatment for other conditions,
1096,1256,675124fc501a3fd70402b76a,Angina,Angina Pectoris,R07.3 - Other chest pain,
93,100,67720ca3e12084d9ec0bb1cc,Angina pectoris ccs 2,Angina Pectoris,,
1518,1744,6743e82c7610f1287b046b39,Angina pectoris CCS IV,Angina Pectoris,"I20.9-Angina pectoris, unspecified",
548,630,676230c3945b3958cd0c87a1,angina pectoris,Angina Pectoris,I20.0 - Unstable angina,
1587,1822,673fd0aad0cd8ce8fc09570c,AP,Angina Pectoris,--Belum di Isi,
11247,13710,659ccc15b04bcd7be8052a70,Angina pectrois,Angina Pectoris,I20-Angina pectoris,
479,555,6763774fb0672d98df09706f,Angina pectoris,Angina Pectoris,Z09.8 - Follow-up examination after other treatment for other conditions,
426,494,6764c90e4b6167e62f0f99ff,APS,Angina Pectoris,Z09.8-Follow-up examination after other treatment for other conditions,
102,115,677204908c8d69a67a08a8d1,Angina pectoris CCS IV,Angina Pectoris,"I20.9 - Angina pectoris, unspecified",
859,978,675a20c0b681e913fd019b94,Angina pectoris,Angina Pectoris,I25.1-Atherosclerotic heart disease,
0,0,6773764fbafdbc92fc0184ac,APS CCS II,Angina Pectoris,I25.1 - Atherosclerotic heart disease,
4151,4826,66e90105bb5d2775090ffa0a,Angiuna pectoris,Angina Pectoris,I20.0-Unstable angina,
3096,3602,670f0a6126de633ee60a03da,APS,Angina Pectoris,I20 - Angina pectoris,
4696,5517,66d50075e898b014eb0dee17,aps,Angina Pectoris,D82.3 - Immunodeficiency following hereditary defective response to Epstein-Barr virus,
3537,4103,66ff3ec474ef983f0709856d,AP,Angina Pectoris,I21 - Acute myocardial infarction,
4214,4899,66e3abcd8ca4821f9603c505,ATCYPICAL ANGINA,Angina Pectoris,- - Belum di Isi,
233,269,676df0087c5dd29e0c096a05,aortic regurgitation (severe),Aortic Regurgitation,Z09.8 - Follow-up examination after other treatment for other conditions,
387,447,6768b210780f06a99e092451,aortic regurgitation (mild moderate),Aortic Regurgitation,I35.1 - Aortic (valve) insufficiency,
484,561,6763758d5a0c850fdf0b0b3a,AR Severe,Aortic Regurgitation,,
502,581,67636c4159411ee7120778e6,CHF (MS Ssevere+ AR Moderate),Aortic Regurgitation,I50.0 - Congestive heart failure,
977,1113,6757855d9bbda90d110f576c,AR,Aortic Regurgitation,I06.1-Rheumatic aortic insufficiency,
4134,4806,66ea233c317a238eda0b8d35,AR Severe,Aortic Regurgitation,I50.0-Congestive heart failure,
1132,1296,6750fe2cba52afd92605693c,AR Moderate,Aortic Regurgitation,Z09.8-Follow-up examination after other treatment for other conditions,
2718,3149,671af606cc1ea8096c0a5f3a,AR,Aortic Regurgitation,I35.1-Aortic (valve) insufficiency,
3857,4467,66f4ad43c4685999a60c924a,AR,Aortic Regurgitation,I06.1 - Rheumatic aortic insufficiency,
171,192,676e1e28bf8b85849f0edc0e,Ar severe,Aortic Regurgitation,I08.0 - Disorders of both mitral and aortic valves,
1178,1346,674fb0266c03e5b5ca087012,aortic regurgitatioan,Aortic Regurgitation,- - Belum di Isi,
3119,3633,670dcd3d5067ca88e2018af6,AR,Aortic Regurgitation,I08.0-Disorders of both mitral and aortic valves,
7912,9362,664d38a81e9e114179044e82,AS,Aortic Stenosis,I25.1 - Atherosclerotic heart disease,
66,72,67733827fc2d077b7a0aa553,Aorta stenosiS (severe),Aortic Stenosis,I35.0 - Aortic (valve) stenosis,
1191,1362,674fa90b463c8b886f08b0ce,AS,Aortic Stenosis,Z09.8-Follow-up examination after other treatment for other conditions,
949,1080,67579b4ab67d87d9e608fff6,AS,Aortic Stenosis,Z09.8 - Follow-up examination after other treatment for other conditions,
9908,11814,65e51f815bd43c28a80763e4,Aorta Stenosis,Aortic Stenosis,I35.1 - Aortic (valve) insufficiency,
5201,6117,66be9adffd2b125092074ddb,Aorta stenosiS,Aortic Stenosis,D82.3 - Immunodeficiency following hereditary defective response to Epstein-Barr virus,
5161,6068,66bec3df25b6e3dfbc02a057,aorta stenosis,Aortic Stenosis,Q25.3 - Stenosis of aorta,
1473,1693,67451c85eae94f6b650e40b7,Aorta stenosiS (severe),Aortic Stenosis,,
4096,4754,66eb7750caf02463470d4d24,AVR,Aortic Valve Area Repair,,
8629,10244,662ee9c792e75363080a2473,AVA repair,Aortic Valve Area Repair,Z09.8 - Follow-up examination after other treatment for other conditions,
4449,5229,66dbaad5d91ca383350b54fa,Aritmia cordis on prepare treadmill test,Aritmia,I49.8 - Other specified cardiac arrhythmias,
10457,12567,65c9745ba193aeb786039ec9,Aritmia cordis,Aritmia,I49 - Other cardiac arrhythmias,
2117,2426,6731656ad2a12b1793062993,Aritmia cordis,Aritmia,"I20.9 - Angina pectoris, unspecified",
6138,7251,669858a944c12aec5904153a,Aritmia cordis,Aritmia,- - Belum di Isi,
1036,1187,67526d824c45cf48170c475c,Aritmia cordis,Aritmia,Z09.8 - Follow-up examination after other treatment for other conditions,
4998,5878,66c7cfc0727650eade0f1f05,Arithmia perbaikan,Aritmia,I49.3 - Ventricular premature depolarization,
11018,13367,65a875f646d9682dc8097de8,Aritmia cordis,Aritmia,I49.8-Other specified cardiac arrhythmias,
1471,1691,67451d9ecf602be5170ebc86,Aritmia cordis,Aritmia,"I49.9-Cardiac arrhythmia, unspecified",
98,111,677206e014f2b15bc4046003,Aritmia cordis,Aritmia,,
143,160,6771e6676d135e46e7070243,Aritmia cordis,Aritmia,"I49.9 - Cardiac arrhythmia, unspecified",
149,167,6771e2e4d7341880cd08e21b,Asma bronkiale,Asma,Z09.8 - Follow-up examination after other treatment for other conditions,
489,567,6763711bb0672d98df097033,Asma bronkiale,Asma,,
948,1079,67579c9905feaeb5d3076114,asma bronchiale,Asma,Z09.8-Follow-up examination after other treatment for other conditions,
2391,2760,672828c0403d76b0810ae5ed,Asma bronkhiale,Asma,"J45.9-Asthma, unspecified",
7995,9461,664ad26f204fb6077d0ad1a6,asma,Asma,"J45.9 - Asthma, unspecified",
116,130,6771f7eb14f2b15bc4045f95,ASHD,Atherosclerosis Heart Disease,I25.1-Atherosclerotic heart disease,
745,851,675cdc1178bf9d431f0a2641,ASHD,Atherosclerosis Heart Disease,"R07.4 - Chest pain, unspecified",
89,95,6772100028d07fdc1b064e58,ASHD,Atherosclerosis Heart Disease,D82.3 - Immunodeficiency following hereditary defective response to Epstein-Barr virus,
1296,1489,674d130d67f5b695230befe3,ASHD,Atherosclerosis Heart Disease,- - Belum di Isi,
73,79,677335f49ca68008fe015cb8,ashd,Atherosclerosis Heart Disease,I25.1 - Atherosclerotic heart disease,
2181,2502,672d65b2d344ecc9bc02a545,ASHD,Atherosclerosis Heart Disease,I11.9 - Hypertensive heart disease without (congestive) heart failure,
9272,11043,66024cbea8f621d3f3087f15,ASHD,Atherosclerosis Heart Disease,"I01.9 - Acute rheumatic heart disease, unspecified",
20,21,67735ec692492de81d0fdae7,ASHD (compensated),Atherosclerosis Heart Disease,,
4270,4982,66e23dcd3e67d3a85c024d70,ASHD,Atherosclerosis Heart Disease,I50.0 - Congestive heart failure,
11037,13396,65a72c19e4eaa1bc0901ed9b,ASHD,Atherosclerosis Heart Disease,"I25.0-Atherosclerotic cardiovascular disease, so described",
200,227,676e09ef0d9a23578f0791d6,ashd,Atherosclerosis Heart Disease,Z09.8-Follow-up examination after other treatment for other conditions,
7891,9340,664d43a22fd16fced404673c,ASHD,Atherosclerosis Heart Disease,I25.2-Old myocardial infarction,
15,16,6773626d3a4656b6e10ae95a,ASHD,Atherosclerosis Heart Disease,Z09.8 - Follow-up examination after other treatment for other conditions,
7934,9387,664c1759b8a171232402d669,ASHD (compensated),Atherosclerosis Heart Disease,Q24.8 - Other specified congenital malformations of heart,
817,933,675a4f3c0e941a470e0c311c,AF,Atrial Fibrillation,I48-Atrial fibrillation and flutter,
5766,6804,66a98513af228bc1af0f3846,AF,Atrial Fibrillation,D82.3-Immunodeficiency following hereditary defective response to Epstein-Barr virus,
96,105,67720a62f0212404cd0fef71,AF,Atrial Fibrillation,Z09.8 - Follow-up examination after other treatment for other conditions,
